# Raman Linecut Export
# Pixel size: 15 nm
# Direction: horizontal
# Start offset from align: (5, 0)
# Length: 150 px
# Width averaged: 15 px
# Maps included: 15
# Alignment points:
#   860 cm⁻¹: align=(14,37), abs_start=(19,37)
#   870 cm⁻¹: align=(14,34), abs_start=(19,34)
#   880 cm⁻¹: align=(14,34), abs_start=(19,34)
#   890 cm⁻¹: align=(11,29), abs_start=(16,29)
#   900 cm⁻¹: align=(9,28), abs_start=(14,28)
#   911 cm⁻¹: align=(17,39), abs_start=(22,39)
#   920 cm⁻¹: align=(5,40), abs_start=(10,40)
#   930 cm⁻¹: align=(4,38), abs_start=(9,38)
#   941 cm⁻¹: align=(3,39), abs_start=(8,39)
#   950 cm⁻¹: align=(3,39), abs_start=(8,39)
#   960 cm⁻¹: align=(2,31), abs_start=(7,31)
#   970 cm⁻¹: align=(7,24), abs_start=(12,24)
#   980 cm⁻¹: align=(8,38), abs_start=(13,38)
#   991 cm⁻¹: align=(11,38), abs_start=(16,38)
#   1000 cm⁻¹: align=(15,42), abs_start=(20,42)

pixel_index,860_cm⁻¹,870_cm⁻¹,880_cm⁻¹,890_cm⁻¹,900_cm⁻¹,911_cm⁻¹,920_cm⁻¹,930_cm⁻¹,941_cm⁻¹,950_cm⁻¹,960_cm⁻¹,970_cm⁻¹,980_cm⁻¹,991_cm⁻¹,1000_cm⁻¹
0,0.744457,2.722820,3.420920,0.973679,3.039027,1.201487,3.492367,3.215747,4.354207,3.431853,1.992460,2.484227,5.787720,5.069353,5.718433
1,0.723325,2.705133,3.431667,0.965444,2.975773,1.196013,3.500973,3.216047,4.330660,3.400047,1.982000,2.478767,5.764133,5.086873,5.806640
2,0.705039,2.735487,3.466167,0.971253,3.008627,1.214440,3.509340,3.244573,4.393200,3.411307,1.982320,2.506893,5.843400,5.129560,5.897680
3,0.735637,2.724673,3.421307,0.981043,3.031873,1.195987,3.494460,3.204673,4.333420,3.433827,1.986067,2.503133,5.794253,5.082880,5.833773
4,0.722967,2.673553,3.388007,0.972025,2.997033,1.186000,3.462107,3.222447,4.301407,3.406053,1.975600,2.465220,5.758267,5.059733,5.798420
5,0.720423,2.666627,3.378513,0.957083,2.960493,1.185300,3.447320,3.212027,4.297367,3.368353,1.958773,2.479000,5.754613,5.063707,5.816300
6,0.723754,2.642580,3.322060,0.941823,2.951813,1.174787,3.423400,3.237167,4.313800,3.372973,1.953687,2.442800,5.761807,5.033560,5.821047
7,0.698656,2.600613,3.267093,0.950877,2.932960,1.172520,3.340120,3.235887,4.278280,3.396573,1.927733,2.487393,5.741493,5.124600,5.819107
8,0.696164,2.552453,3.151720,0.913825,2.879820,1.148860,3.286293,3.103853,4.228853,3.355440,1.958100,2.452733,5.723527,5.078573,5.760600
9,0.674913,2.417387,2.913407,0.869608,2.781013,1.116327,3.099953,3.017513,4.071387,3.292487,1.931327,2.379113,5.643847,4.975573,5.680260
10,0.645417,2.182133,2.543547,0.802521,2.576200,1.068373,2.780867,2.772067,3.831747,3.152587,1.860833,2.284507,5.464713,4.872920,5.537720
11,0.595467,1.919960,2.221020,0.688857,2.252320,0.958718,2.391953,2.420713,3.392687,2.922347,1.755413,2.062053,5.097700,4.446720,5.003027
12,0.553409,2.088400,2.614673,0.610580,1.988767,0.856763,2.330273,2.244120,2.913587,2.566133,1.586167,1.735213,4.214160,3.618387,4.122773
13,0.701051,2.557440,2.852133,0.727638,2.117667,0.921071,2.236173,2.191580,2.734287,2.340693,1.360640,1.511640,3.340887,3.178793,3.752980
14,0.947259,2.271147,2.107293,0.702550,2.277140,1.037855,1.676900,2.162880,2.225840,2.209747,1.213489,1.681153,3.071413,3.349447,4.159840
15,0.921615,2.540473,3.325747,0.744743,2.303720,0.969832,3.401807,3.306707,3.178147,2.300060,1.388125,2.295793,4.635480,4.572433,4.913287
16,0.849052,3.755947,5.004167,1.030935,3.225547,1.363467,5.075133,4.895500,4.977220,3.456240,2.036193,3.136300,6.334147,5.229453,4.987833
17,0.948332,5.514287,7.144187,1.592553,4.774053,1.987587,6.681053,6.104620,6.394047,4.744140,2.674427,3.377840,6.793600,4.968207,4.439673
18,1.294527,7.362207,9.322107,2.152047,6.338420,2.603867,7.378720,6.358353,6.941520,5.354120,2.882720,3.093307,6.243180,4.309440,3.830020
19,1.881993,8.530320,10.213800,2.610380,7.188880,2.884507,7.084087,5.840933,6.511827,5.168533,2.686660,2.655600,5.203453,3.693513,3.599127
20,2.542500,8.780300,10.099020,2.741960,7.096333,2.775873,6.303433,5.062513,5.664580,4.528927,2.345220,2.280240,4.443227,3.511173,3.716047
21,3.030693,8.483960,9.349927,2.590253,6.510587,2.489880,5.511053,4.347247,4.833333,3.887353,2.031993,2.062120,4.149640,3.692007,3.897653
22,3.273367,7.837940,8.370107,2.330167,5.769193,2.142533,4.832413,3.778527,4.281800,3.475553,1.843620,2.080087,4.343373,3.904553,3.938833
23,3.270240,7.033887,7.326867,2.058680,4.980020,1.875127,4.311473,3.524280,4.028793,3.252847,1.793767,2.219273,4.669247,3.976027,3.869813
24,3.050533,6.248467,6.428313,1.783267,4.400227,1.633467,4.114253,3.537400,4.059180,3.313320,1.879200,2.360633,4.897473,3.890080,3.847460
