# Raman Linecut Export
# Pixel size: 15 nm
# Direction: horizontal
# Start offset from align: (5, 0)
# Length: 120 px
# Width averaged: 10 px
# Maps included: 15
# Alignment points:
#   860 cm⁻¹: align=(21,40), abs_start=(26,40)
#   870 cm⁻¹: align=(20,39), abs_start=(25,39)
#   880 cm⁻¹: align=(18,38), abs_start=(23,38)
#   890 cm⁻¹: align=(18,37), abs_start=(23,37)
#   900 cm⁻¹: align=(10,39), abs_start=(15,39)
#   911 cm⁻¹: align=(26,43), abs_start=(31,43)
#   920 cm⁻¹: align=(13,46), abs_start=(18,46)
#   930 cm⁻¹: align=(11,46), abs_start=(16,46)
#   941 cm⁻¹: align=(11,46), abs_start=(16,46)
#   950 cm⁻¹: align=(13,47), abs_start=(18,47)
#   960 cm⁻¹: align=(10,36), abs_start=(15,36)
#   970 cm⁻¹: align=(13,30), abs_start=(18,30)
#   980 cm⁻¹: align=(14,43), abs_start=(19,43)
#   991 cm⁻¹: align=(21,43), abs_start=(26,43)
#   1000 cm⁻¹: align=(23,44), abs_start=(28,44)

pixel_index,860_cm⁻¹,870_cm⁻¹,880_cm⁻¹,890_cm⁻¹,900_cm⁻¹,911_cm⁻¹,920_cm⁻¹,930_cm⁻¹,941_cm⁻¹,950_cm⁻¹,960_cm⁻¹,970_cm⁻¹,980_cm⁻¹,991_cm⁻¹,1000_cm⁻¹
0,0.699032,2.697520,3.406760,0.971423,3.225250,1.205910,3.476470,3.378640,4.413260,3.480570,2.055150,2.488530,5.838990,5.255110,5.953420
1,0.718130,2.675330,3.378090,0.964769,3.196620,1.209890,3.435150,3.373590,4.404810,3.443010,2.035470,2.488180,5.798260,5.199860,5.896740
2,0.696404,2.641280,3.373920,0.937847,3.164390,1.180950,3.413090,3.335390,4.352310,3.435300,2.044240,2.472700,5.767890,5.172230,5.869660
3,0.677784,2.610830,3.306960,0.930991,3.117160,1.181880,3.393120,3.299390,4.312930,3.392740,2.024590,2.449980,5.728020,5.131840,5.828100
4,0.652969,2.535650,3.264880,0.921357,3.055790,1.157990,3.327060,3.262100,4.301060,3.366080,1.997270,2.427990,5.690860,5.072250,5.776730
5,0.613558,2.413950,3.178530,0.864685,2.954300,1.126300,3.254470,3.238230,4.231870,3.297830,1.959960,2.406980,5.640280,5.023250,5.713540
6,0.540225,2.199660,3.022970,0.756146,2.628050,1.071810,3.173090,3.141850,4.090630,3.178540,1.782930,2.349470,5.503220,4.844690,5.427560
7,0.414033,1.726240,2.664000,0.593834,1.952920,0.853383,2.599320,2.736400,3.618000,2.604320,1.370810,2.072960,5.080410,3.881450,4.270100
8,0.462600,1.548550,2.097960,0.679248,1.925250,0.826286,2.088780,2.202300,2.775360,2.104330,1.349600,1.627920,4.013880,3.164990,3.823640
9,0.806272,2.299680,2.221440,1.108370,2.773510,1.183380,2.525360,2.412140,2.777050,2.430680,1.710670,1.701450,3.442090,3.118510,3.852670
10,1.300350,3.642270,3.527080,1.458440,3.915800,1.566010,3.712980,3.284100,3.569000,3.159970,1.997800,1.987430,3.483500,3.037470,4.001780
11,1.593200,4.508330,5.029950,1.569790,4.414590,1.679280,4.325970,3.812610,4.223450,3.548340,2.157990,2.210400,3.597590,3.555970,4.403800
12,1.673850,4.838990,5.680070,1.592980,4.553640,1.744050,4.454310,3.977500,4.370480,3.811010,2.676830,2.532890,4.318730,5.109910,6.096080
13,1.785530,5.210780,5.821210,1.745060,5.125720,2.068920,4.957020,4.688220,5.394730,4.851080,3.878720,3.586930,6.039890,6.919420,7.435960
14,1.972500,5.957510,6.189110,2.098670,6.373620,2.715040,6.417680,6.201550,7.437770,6.875790,5.058220,5.280280,8.756330,7.794510,7.482080
15,2.269920,6.962570,7.122440,2.642310,8.212760,3.590540,8.444800,8.463840,10.034100,8.948110,5.774950,6.418710,10.417600,7.650400,6.970330
16,2.698190,8.440550,8.622930,3.349450,10.218360,4.365190,10.875800,10.619200,12.070400,10.067410,5.729120,6.733420,10.687600,6.928400,6.179960
17,3.231730,10.008830,10.713200,3.994690,11.815300,4.885270,12.583500,11.615000,12.671800,9.895220,5.239930,6.303590,9.945410,6.063640,5.598360
18,3.745870,11.441100,12.755600,4.414250,12.726500,4.907160,13.114300,11.410500,12.089300,9.023950,4.638810,5.510830,8.757510,5.385520,5.328680
