pixel_index,860_cm?????,870_cm?????,880_cm?????,890_cm?????,900_cm?????,911_cm?????,920_cm?????,930_cm?????,941_cm?????,950_cm?????,960_cm?????,970_cm?????,980_cm?????
0,1.771493,4.604727,5.441753,1.51482,4.15944,1.6177,4.206967,3.695933,4.128989,3.275014,1.82017,2.05031,4.4543
0.01538,1.766633,4.60282,5.417633,1.50984,4.187027,1.6177,4.191556,3.722622,4.111011,3.256171,1.82463,2.03801,4.43752
0.03077,1.77478,4.588487,5.40182,1.49176,4.178353,1.592225,4.19428,3.70563,4.07681,3.244688,1.81353,2.04369,4.33674
0.04615,1.771567,4.558627,5.374847,1.492087,4.1657,1.582783,4.19775,3.69812,4.05582,3.23095,1.80991,2.02853,4.55096
0.06154,1.779893,4.568713,5.3917,1.498727,4.145393,1.58386,4.228245,3.687764,4.070645,3.232138,1.81169,2.03161,4.5536
0.07692,1.799427,4.581193,5.391973,1.486167,4.115827,1.597008,4.264445,3.705,4.029964,3.234533,1.80655,2.02987,4.43143
0.09231,1.812453,4.64656,5.434047,1.48984,4.13494,1.584864,4.217618,3.720945,4.053391,3.210356,1.80481,2.02167,4.47047
0.10769,1.808433,4.69598,5.493687,1.519827,4.133587,1.572113,4.208783,3.70405,4.045508,3.25399,1.78382,2.01486,4.44112
0.12308,1.79636,4.710407,5.550347,1.52004,4.16984,1.571313,4.239667,3.699975,4.103692,3.24925,1.79694,2.02351,4.51789
0.13846,1.788847,4.69386,5.563547,1.53584,4.188093,1.5715,4.247158,3.66605,4.060158,3.24427,1.78795,2.02581,4.31809
0.15385,1.731073,4.6814,5.540167,1.53026,4.21486,1.595987,4.282177,3.696531,4.079262,3.241645,1.79633,2.02818,4.31473
0.16923,1.69134,4.566707,5.457213,1.5254,4.2579,1.608813,4.299662,3.7319,4.077262,3.233773,1.80065,2.02879,4.34449
0.18462,1.63476,4.43496,5.316853,1.48998,4.22908,1.621287,4.327854,3.739477,4.086092,3.239191,1.81407,2.01562,4.27744
0.2,1.59242,4.294347,5.134593,1.4388,4.163867,1.626953,4.275657,3.732493,4.092386,3.252675,1.79697,2.01173,4.22818
0.21538,1.587853,4.176673,4.995773,1.4014,4.062247,1.605567,4.226143,3.749443,4.122829,3.278858,1.80548,2.00788,4.27613
0.23077,1.592833,4.11166,4.878827,1.373293,3.91204,1.56458,4.113207,3.696107,4.119453,3.2721,1.79469,2.02305,4.25311
0.24615,1.61186,4.0916,4.85516,1.347993,3.807373,1.52734,3.976587,3.586967,4.029407,3.241238,1.82803,2.03299,4.20397
0.26154,1.678847,4.182653,4.932553,1.361573,3.76776,1.4702,3.88974,3.450893,3.928133,3.140031,1.83337,2.02855,4.22615
0.27692,1.75544,4.345633,5.140707,1.420987,3.838873,1.44324,3.87464,3.3984,3.800787,3.025321,1.84115,1.98576,4.17433
0.29231,1.827073,4.53988,5.361087,1.480827,3.953587,1.464813,3.961233,3.411467,3.756013,2.990221,1.78981,1.93668,4.14304
0.30769,1.908633,4.773553,5.6352,1.55376,4.134293,1.509653,4.132993,3.51004,3.775773,2.98575,1.71795,1.88589,3.94136
0.32308,1.981253,4.9632,5.880493,1.61272,4.3586,1.560793,4.330007,3.6362,3.843913,3.09582,1.67717,1.85727,3.87989
0.33846,2.02082,5.120353,5.98662,1.600475,4.617967,1.68596,4.026707,3.808393,4.13208,3.223833,1.66205,1.94158,4.09593
0.35385,2.458067,5.54188,6.15028,2.027907,4.6314,1.698701,4.094989,4.321593,3.709347,3.732213,1.74647,2.15719,4.04932
0.36923,2.512107,6.415833,7.564673,2.13336,5.87006,2.251233,6.24164,5.485013,5.23874,4.844267,1.77117,2.52899,4.74196
0.38462,2.579727,6.477347,7.820847,2.193667,6.190193,2.30492,6.44694,5.668,5.995873,5.03772,2.02118,3.09047,5.37902
0.4,2.609853,6.64146,7.971753,2.241793,6.38924,2.4147,6.62754,5.863667,6.316387,5.31052,2.64997,3.32461,5.79393
0.41538,2.65488,6.778133,8.166533,2.321847,6.564393,2.489847,6.840993,6.090313,6.499127,5.49774,2.92533,3.55311,6.35069
0.43077,2.709327,7.013747,8.465627,2.434507,6.892247,2.609293,7.269187,6.51544,6.88184,5.874487,3.10777,3.79749,6.76319
0.44615,2.8088,7.298753,8.926807,2.57132,7.338707,2.773953,7.764873,7.003073,7.45448,6.3845,3.26712,4.1027,7.27258
0.46154,2.909307,7.66564,9.38608,2.7114,7.776813,2.94918,8.20554,7.390807,7.83916,6.689613,3.53411,4.31789,7.43483
0.47692,2.988453,7.96526,9.772573,2.78754,8.10966,3.105713,8.484613,7.619113,8.175053,6.852073,3.73859,4.43156,7.43672
0.49231,2.993467,8.15532,9.883673,2.801107,8.185927,3.158653,8.44654,7.47768,8.236173,6.668467,3.88086,4.44315,7.30177
0.50769,3.093233,8.26628,10.084393,2.893993,8.160427,3.10896,8.378467,7.309853,7.776507,6.364313,3.78465,4.3642,7.0894
0.52308,3.277267,8.67478,10.517667,2.994287,8.39246,3.15656,8.475993,7.321847,7.86398,6.378613,3.64804,4.21441,6.9002
0.53846,3.397627,8.97352,10.787133,2.983447,8.383453,3.1305,8.328447,7.113333,7.74834,6.18956,3.52185,4.08368,6.78708
0.55385,3.455033,9.084633,10.739267,2.931913,8.230027,3.074433,8.091353,6.884393,7.54068,6.03214,3.4499,4.05915,6.75142
0.56923,3.49066,9.07796,10.603467,2.844453,7.99424,2.97462,7.775627,6.634473,7.26742,5.88204,3.41398,4.06779,6.81563
0.58462,3.481707,8.943647,10.35908,2.770713,7.64252,2.818173,7.47878,6.384287,7.045893,5.761887,3.39515,4.07569,6.88729
0.6,3.48576,8.885533,10.156633,2.6984,7.415613,2.740487,7.32904,6.361393,6.92828,5.799053,3.40295,4.09165,6.92699
0.61538,3.44066,8.689347,9.833193,2.60786,7.23426,2.697787,7.24498,6.36944,7.026947,5.923893,3.43234,4.10727,6.95368
0.63077,3.375207,8.46312,9.581593,2.549553,7.150227,2.652687,7.287847,6.484553,7.155867,6.011387,3.47956,4.14295,6.98482
0.64615,3.328833,8.317187,9.39412,2.5215,7.097707,2.669753,7.374427,6.581967,7.289267,6.11088,3.53094,4.17453,6.95254
0.66154,3.267233,8.091673,9.205007,2.499827,7.078227,2.700247,7.449187,6.662213,7.365587,6.135727,3.5544,4.19045,6.95242
0.67692,3.2032,7.96586,9.127847,2.517067,7.1478,2.740647,7.602253,6.74886,7.394793,6.14156,3.55028,4.18774,6.95576
0.69231,3.131833,7.857427,9.067087,2.527507,7.233127,2.778107,7.701913,6.812673,7.541987,6.124407,3.53314,4.17202,6.96717
0.70769,3.08294,7.70602,9.041247,2.548967,7.322093,2.817233,7.698727,6.761653,7.49672,6.053993,3.50438,4.14474,7.00042
0.72308,3.067713,7.680327,9.11226,2.591613,7.39402,2.84682,7.700027,6.720073,7.398207,5.998393,3.48763,4.14942,7.02894
0.73846,3.039787,7.710553,9.20238,2.62198,7.463807,2.8426,7.696753,6.680007,7.348633,6.012627,3.49687,4.18259,7.02954
0.75385,3.009173,7.704187,9.258447,2.640027,7.471153,2.83424,7.607687,6.59592,7.313593,6.00766,3.51877,4.19925,7.0306
0.76923,3.030573,7.774013,9.37894,2.64742,7.454113,2.82338,7.5288,6.57432,7.338593,6.02612,3.5342,4.20669,7.0103
0.78462,3.039887,7.854713,9.4613,2.651227,7.448513,2.778793,7.49908,6.6015,7.351,6.107513,3.55641,4.21523,6.98263
0.8,3.05564,7.933093,9.489667,2.636313,7.40472,2.778073,7.47478,6.604793,7.428067,6.172573,3.55632,4.20012,6.97395
0.81538,3.046807,7.96338,9.45876,2.609727,7.33346,2.768753,7.444393,6.63016,7.476853,6.1626,3.55507,4.17095,6.9616
0.83077,3.080867,7.991613,9.447253,2.601007,7.256707,2.739293,7.470653,6.666307,7.490647,6.13628,3.55738,4.16702,6.97712
0.84615,3.1286,8.04776,9.434613,2.575113,7.23718,2.74256,7.522767,6.706633,7.527453,6.125,3.55615,4.1758,6.97641
0.86154,3.129093,8.0406,9.368227,2.54972,7.24048,2.75874,7.5536,6.71062,7.518467,6.091233,3.53824,4.16375,6.94609
0.87692,3.112987,7.991787,9.282573,2.527853,7.207193,2.762547,7.599013,6.68664,7.44706,6.032087,3.51391,4.14973,6.96031
0.89231,3.146887,7.962673,9.2187,2.532667,7.214467,2.765027,7.60062,6.649253,7.32048,5.951007,3.50076,4.14069,6.95576
0.90769,3.145567,7.941387,9.19326,2.548213,7.259327,2.785227,7.611213,6.645193,7.27464,5.9267,3.50959,4.15638,6.9426
0.92308,3.11012,7.905113,9.131953,2.519213,7.304347,2.821487,7.60658,6.587647,7.290373,5.958767,3.51723,4.18145,6.95077
0.93846,3.10396,7.799747,9.108327,2.5666,7.331653,2.7975,7.570073,6.569253,7.29622,5.9505,3.51093,4.16048,6.92839
0.95385,3.10352,7.808507,9.18102,2.596233,7.385153,2.794853,7.576967,6.55224,7.2445,5.958113,3.50042,4.13599,6.91722
0.96923,3.08582,7.79216,9.232407,2.59198,7.402607,2.803107,7.527607,6.538433,7.271333,5.99056,3.49851,4.13342,6.919
0.98462,3.055733,7.761907,9.216473,2.6051,7.402087,2.78642,7.47476,6.52882,7.295407,5.990627,3.49454,4.13651,6.91115
1,3.02914,7.743187,9.2738,2.61034,7.353647,2.767353,7.44862,6.52168,7.310033,5.97932,3.49547,4.13874,6.9092
1.01538,3.007193,7.743927,9.325233,2.600007,7.32796,2.755147,7.430827,6.490693,7.30762,5.93496,3.49041,4.14561,6.90661
1.03077,2.99198,7.75028,9.338693,2.589873,7.272653,2.751293,7.429413,6.528433,7.265273,5.928867,3.49109,4.1501,6.89785
