wn_cm1,lambda_cht_nm,lambda_hankel_nm,lambda_sqrtx_nm,k_fit_range_1e5cm1,x_fit_range_um,cht_vs_hankel_pct,cht_vs_sqrtx_pct
1000,171.4,188.4,161.0,"(0.8, 9.0)","(0.11, 1.2)",9.0,6.5
991,177.5,198.0,167.9,"(0.8, 9.0)","(0.11, 1.2)",10.4,5.7
980,197.1,206.5,184.0,"(0.5, 9.0)","(0.13, 1.2)",4.6,7.1
970,221.1,223.6,205.5,"(0.5, 9.0)","(0.12, 1.2)",1.1,7.6
960,283.2,250.8,216.2,"(0.7, 8.0)","(0.12, 1.2)",12.9,31.0
950,246.3,279.6,246.7,"(0.8, 8.0)","(0.15, 1.2)",11.9,0.2
941,261.4,249.6,254.3,"(0.5, 7.0)","(0.16, 1.2)",4.7,2.8
930,279.2,271.4,274.4,"(0.6, 7.0)","(0.16, 1.2)",2.9,1.7
920,282.4,279.1,283.9,"(0.5, 7.0)","(0.16, 1.2)",1.2,0.5
911,303.5,289.4,295.3,"(0.5, 7.0)","(0.17, 1.2)",4.9,2.8
900,328.7,358.8,308.2,"(0.5, 6.0)","(0.19, 1.2)",8.4,6.7
890,344.3,397.2,355.8,"(0.5, 6.0)","(0.19, 1.2)",13.3,3.2
880,401.4,430.8,372.5,"(0.5, 6.0)","(0.22, 1.2)",6.8,7.8
870,422.3,471.6,415.7,"(0.5, 6.0)","(0.22, 1.2)",10.5,1.6
860,437.9,456.0,411.3,"(0.5, 5.0)","(0.22, 1.2)",4.0,6.5
