wn_cm1,lambda_cht_nm,lambda_hankel_nm,lambda_sqrtx_nm,k_fit_range_1e5cm1,x_fit_range_um,cht_vs_hankel_pct,cht_vs_sqrtx_pct
1000,142.3,150.7,149.6,"(2.0, 10.0)","(0.11, 1.2)",5.6,4.9
991,170.5,197.7,169.1,"(0.2, 9.0)","(0.06, 1.2)",13.7,0.8
980,186.7,185.7,184.9,"(0.2, 9.0)","(0.07, 1.2)",0.5,0.9
970,221.6,228.0,194.7,"(0.2, 9.0)","(0.07, 1.2)",2.8,13.9
960,235.5,252.0,216.3,"(0.2, 7.0)","(0.09, 1.2)",6.5,8.9
950,248.4,248.9,216.5,"(0.2, 8.0)","(0.08, 1.2)",0.2,14.7
941,259.6,253.7,253.9,"(0.2, 7.0)","(0.09, 1.2)",2.3,2.2
930,272.4,270.1,272.6,"(0.2, 7.0)","(0.09, 1.2)",0.9,0.0
920,280.3,281.6,282.0,"(0.2, 7.0)","(0.1, 1.2)",0.5,0.6
911,291.2,291.1,291.8,"(0.2, 7.0)","(0.11, 1.2)",0.0,0.2
900,314.5,358.8,318.5,"(0.2, 6.0)","(0.11, 1.2)",12.3,1.3
890,339.5,384.0,331.9,"(0.0, 6.0)","(0.12, 1.2)",11.6,2.3
880,372.1,432.0,386.3,"(0.5, 5.0)","(0.13, 1.2)",13.9,3.7
870,411.8,456.0,407.4,"(0.72, 5.0)","(0.14, 1.2)",9.7,1.1
860,451.6,456.0,403.1,"(0.5, 4.5)","(0.15, 1.2)",1.0,12.0
