wn_cm1,lambda_cht_nm,lambda_hankel_nm,lambda_sqrtx_nm,k_fit_range_1e5cm1,x_fit_range_um,cht_vs_hankel_pct,cht_vs_sqrtx_pct
1000,224.3,240.0,207.7,"(1.0, 10.0)","(0.1, 1.2)",6.5,8.0
991,255.9,273.0,308.1,"(0.2, 9.0)","(0.06, 1.2)",6.3,16.9
980,275.4,480.0,416.1,"(0.2, 9.0)","(0.02, 1.2)",42.6,33.8
970,264.7,480.0,412.2,"(0.2, 9.0)","(0.11, 1.2)",44.9,35.8
960,263.2,480.0,431.7,"(0.2, 7.0)","(0.12, 1.2)",45.2,39.0
950,295.1,336.0,298.3,"(0.2, 8.0)","(0.14, 1.2)",12.2,1.1
941,361.3,480.0,428.0,"(0.2, 7.0)","(0.09, 1.2)",24.7,15.6
930,405.0,423.8,525.5,"(0.2, 7.0)","(0.09, 1.2)",4.4,22.9
920,455.2,427.2,484.0,"(0.2, 7.0)","(0.1, 1.2)",6.5,6.0
911,329.9,634.8,620.9,"(0.4, 7.0)","(0.16, 1.2)",48.0,46.9
900,439.8,681.4,662.7,"(0.2, 6.0)","(0.16, 1.2)",35.5,33.6
890,489.8,535.6,531.3,"(0.2, 6.0)","(0.18, 1.2)",8.6,7.8
880,629.4,687.2,653.6,"(0.2, 5.0)","(0.18, 1.2)",8.4,3.7
870,635.4,701.4,699.2,"(0.2, 5.0)","(0.14, 1.0)",9.4,9.1
860,660.2,618.4,622.4,"(0.1, 6.0)","(0.15, 1.0)",6.8,6.1
