wn,lp,center_x_um,center_y_um,angle_deg,radius_um,rect_width_um,align_bg_loc_nm,realign_nm
1000cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,290,0
991cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,235,0
980cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,195,0
970cm-1,lp1,0.15,0.8,0.0,2.085,0.07500000000000001,230,0
960cm-1,lp1,0.15,0.8,0.0,2.085,0.07500000000000001,170,0
950cm-1,lp1,0.12,0.8,0.0,2.085,0.07500000000000001,210,0
941cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,125,0
930cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,132,0
920cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,150,0
911cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,334,0
900cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,228,0
890cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,250,0
880cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,283,0
870cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,288,0
860cm-1,lp1,0.2,0.8,0.0,2.085,0.07500000000000001,305,0
