freq_cm-1,hankel_qp_cm-1,sqrtx_qp_cm-1,fft_amp_qp_cm-1,fft_amp_fwhm_cm-1,fft_phase_qp_cm-1,fft_phase_fwhm_cm-1,fft_complex_qp_cm-1,fft_complex_fwhm_cm-1,peak2to3_spacing_qp_cm-1,hankel_2wave_qp_cm-1,fft_recommended_channel,fft_recommended_qp_cm-1,fft_recommended_fwhm_cm-1,note
860,90894,90352,96345.0,71725.0,98571.0,80467.0,95761.0,73938.0,99924,,amp,96345.0,71725.0,
870,108331,107126,110844.0,62764.0,102504.0,63432.0,110997.0,62407.0,105341,,amp,110844.0,62764.0,
880,117422,116612,117274.0,55179.0,112699.0,57295.0,117355.0,54942.0,117056,,amp,117274.0,55179.0,
890,125942,124601,125301.0,46632.0,131495.0,59895.0,125348.0,46622.0,127064,,amp,125301.0,46632.0,
900,132339,133090,133858.0,52618.0,131042.0,49950.0,133855.0,52576.0,137169,133061.0,amp,133858.0,52618.0,uses two-wave hankel fit
911,148322,149140,144910.0,47402.0,143894.0,36812.0,144873.0,47559.0,160160,146725.0,amp,144910.0,47402.0,uses two-wave hankel fit
920,155387,154521,158794.2,49347.2,152191.4,66339.0,158940.4,48810.4,172370,155181.0,amp,158794.2,49347.2,uses two-wave hankel fit
930,163625,172688,168230.3,64793.9,159450.5,69950.2,168467.3,66520.1,234586,159754.0,amp,168230.3,64793.9,uses two-wave hankel fit
941,174533,177045,186010.5,46810.3,178127.0,55980.3,187190.0,50046.0,238300,178579.0,amp,186010.5,46810.3,uses two-wave hankel fit
950,201384,213913,197114.4,50341.8,190317.7,53507.6,196173.4,51333.6,179382,190056.0,amp,197114.4,50341.8,uses two-wave hankel fit
960,174533,202760,192411.4,76950.8,199356.1,52638.9,190618.6,73839.3,150858,201685.0,amp,192411.4,76950.8,uses two-wave hankel fit
970,230118,219959,207931.9,115232.2,200603.5,71950.9,207221.3,117387.8,261301,204257.0,amp,207931.9,115232.2,uses two-wave hankel fit
980,244244,237266,235207.2,41447.2,245886.3,47289.9,234973.2,41441.0,243892,223812.0,amp,235207.2,41447.2,uses two-wave hankel fit
991,262139,307767,277430.0,236611.0,227755.0,48180.0,280084.0,243364.0,215768,246096.0,phase,227755.0,48180.0,uses two-wave hankel fit; fft uses phase ch. (amp too noisy)
1000,373999,269005,285680.0,338080.0,426864.0,244031.0,285012.0,339319.0,182200,242187.0,phase,426864.0,244031.0,uses two-wave hankel fit; fft uses phase ch. (amp too noisy)
