freq_cm-1,hankel_qp_cm-1,sqrtx_qp_cm-1,fft_amp_qp_cm-1,fft_amp_fwhm_cm-1,fft_phase_qp_cm-1,fft_phase_fwhm_cm-1,fft_complex_qp_cm-1,fft_complex_fwhm_cm-1,peak2to3_spacing_qp_cm-1,hankel_2wave_qp_cm-1,fft_recommended_channel,fft_recommended_qp_cm-1,fft_recommended_fwhm_cm-1,note
860,94948,96792,97310.1,112919.1,121951.2,64689.8,96731.2,113100.3,113400,,amp,97310.1,112919.1,
870,104229,105016,112616,68990.4,106227.7,111636.2,112535.6,69310.5,108900,,amp,112616,68990.4,
880,109440,108711,118050.6,87756.3,106604.4,73574.8,118098.1,88025.8,103300,,amp,118050.6,87756.3,
890,110610,113473,124067.2,88043.1,104787.8,127736.4,124197.5,88344.8,113400,,amp,124067.2,88043.1,
900,122207,112408,154612.4,132695.2,157809.8,78286.7,154148.6,134506.5,165700,150297,amp,154612.4,132695.2,uses two-wave hankel fit
911,148404,147476,159336,42165.6,160712.6,61534.2,159454.6,42021.2,196700,154709,amp,159336,42165.6,uses two-wave hankel fit
920,145828,147157,152389.5,47542.7,159792,71605.2,152541.7,47374.8,170400,149696,amp,152389.5,47542.7,uses two-wave hankel fit
930,130900,145900,210066.7,57409.6,175582.4,67488.7,211111.8,59131.3,104700,202259,amp,210066.7,57409.6,uses two-wave hankel fit; peak2to3_spacing is a genuine outlier vs other methods
941,130900,145051,198871.1,55862,185321.5,69328.1,199467.2,57917.9,214200,191406,amp,198871.1,55862,uses two-wave hankel fit
950,187000,213935,220155.6,73907.5,201176.6,55246,219819.2,74673.4,191600,190768,amp,220155.6,73907.5,uses two-wave hankel fit
960,169756,168030,265793.3,50734,275562,52604,265465.8,50689.8,197700,205877,amp,265793.3,50734,uses two-wave hankel fit
970,179445,160690,196090.8,23579,195344.8,33106,196029.1,23476.7,223000,264874,amp,196090.8,23579,uses two-wave hankel fit
980,130900,151240,251742.5,63949.9,245567,18796.3,252296.3,61864.6,111900,189238,amp,251742.5,63949.9,uses two-wave hankel fit
991,174533,200726,276041.2,74801.1,199596.3,70825.9,277433.2,74775.9,127100,205705,amp,276041.2,74801.1,uses two-wave hankel fit;
1000,287583,302028,323365.4,91331.2,429000,113174.1,321792.1,94499.9,169500,257126,amp,323365.4,91331.2,uses two-wave hankel fit; peak2to3_spacing is a genuine outlier vs other methods
